MAKH,SDT,HOTEN,NGAYSINH,GIOITINH,DIACHI,DIEMTICHLUY
KH0346,0933009139,Khach Hang 346,1994-03-31,Nam,Ho Chi Minh,1198
KH0347,0381796894,Khach Hang 347,1996-05-24,Nu,Ha Noi,3113
KH0348,0991524425,Khach Hang 348,2006-05-19,Nam,Can Tho,2657
KH0349,0851900056,Khach Hang 349,1999-12-16,Nu,Hai Phong,1165
KH0350,0953478676,Khach Hang 350,1985-04-06,Nam,Can Tho,4497
KH0351,0988239337,Khach Hang 351,1981-05-14,Nu,Binh Duong,3585
KH0352,0973263967,Khach Hang 352,1989-08-05,Nam,Hai Phong,3133
KH0353,0766823196,Khach Hang 353,2005-12-03,Nu,Da Nang,3779
KH0354,0317149412,Khach Hang 354,1979-01-14,Nam,Khanh Hoa,4339
KH0355,0386978943,Khach Hang 355,2001-11-17,Nu,Binh Duong,2107
KH0356,0728650014,Khach Hang 356,1994-03-04,Nam,Ha Noi,3515
KH0357,0317074604,Khach Hang 357,1979-10-28,Nu,Binh Duong,3818
KH0358,0776917421,Khach Hang 358,1974-09-16,Nam,Hai Phong,3074
KH0359,0740233431,Khach Hang 359,1984-10-11,Nu,Da Nang,2017
KH0360,0945172397,Khach Hang 360,1980-03-14,Nam,Da Nang,4142
KH0361,0811668546,Khach Hang 361,1979-05-17,Nu,Hai Phong,56
KH0362,0362306690,Khach Hang 362,1987-01-19,Nam,Ho Chi Minh,4809
KH0363,0888062558,Khach Hang 363,1971-09-22,Nu,Khanh Hoa,4447
KH0364,0915746818,Khach Hang 364,2005-09-13,Nam,Dong Nai,4504
KH0365,0334590094,Khach Hang 365,1971-07-28,Nu,Binh Duong,3222
KH0366,0961038874,Khach Hang 366,1982-10-01,Nam,Dong Nai,2258
KH0367,0772969185,Khach Hang 367,1979-05-22,Nu,Da Nang,3386
KH0368,0873243581,Khach Hang 368,1992-09-25,Nam,Hai Phong,2402
KH0369,0724000817,Khach Hang 369,1975-05-23,Nu,Can Tho,1666
KH0370,0723075095,Khach Hang 370,2005-10-30,Nam,Can Tho,1412
KH0371,0714077974,Khach Hang 371,1984-01-05,Nu,Hai Phong,2144
KH0372,0767293557,Khach Hang 372,1980-04-10,Nam,Ho Chi Minh,2159
KH0373,0841060862,Khach Hang 373,1994-11-29,Nu,Da Nang,138
KH0374,0983425731,Khach Hang 374,1988-04-12,Nam,Khanh Hoa,564
KH0375,0853933185,Khach Hang 375,2000-06-22,Nu,Khanh Hoa,1278
KH0376,0983225279,Khach Hang 376,1970-10-18,Nam,Binh Duong,1811
KH0377,0394077213,Khach Hang 377,1975-12-27,Nu,Hai Phong,2912
KH0378,0352045857,Khach Hang 378,2006-10-22,Nam,Dong Nai,787
KH0379,0354501200,Khach Hang 379,1977-06-24,Nu,Dong Nai,2301
KH0380,0986853637,Khach Hang 380,1987-03-05,Nam,Hai Phong,1369
KH0381,0856590029,Khach Hang 381,1994-04-03,Nu,Da Nang,1456
KH0382,0724819477,Khach Hang 382,2003-03-25,Nam,Khanh Hoa,4378
KH0383,0378715402,Khach Hang 383,1990-01-16,Nu,Ha Noi,4997
KH0384,0886674432,Khach Hang 384,1989-01-29,Nam,Binh Duong,3651
KH0385,0955441727,Khach Hang 385,1988-08-02,Nu,Dong Nai,1834
KH0386,0784427159,Khach Hang 386,1970-08-15,Nam,Da Nang,172
KH0387,0930487282,Khach Hang 387,1985-11-13,Nu,Ho Chi Minh,3802
KH0388,0731644722,Khach Hang 388,1973-02-19,Nam,Can Tho,3279
KH0389,0826850916,Khach Hang 389,1996-08-25,Nu,Dong Nai,3969
KH0390,0764772805,Khach Hang 390,1972-04-23,Nam,Da Nang,1130
KH0391,0375114417,Khach Hang 391,2005-04-25,Nu,Ha Noi,4487
KH0392,0365407358,Khach Hang 392,1984-10-23,Nam,Binh Duong,3731
KH0393,0329341318,Khach Hang 393,2005-01-17,Nu,Can Tho,3927
KH0394,0324891648,Khach Hang 394,1984-12-20,Nam,Khanh Hoa,1627
KH0395,0836073907,Khach Hang 395,2006-07-16,Nu,Ho Chi Minh,4133
KH0396,0913315512,Khach Hang 396,1979-03-30,Nam,Ha Noi,4806
KH0397,0889695718,Khach Hang 397,2002-09-17,Nu,Da Nang,118
KH0398,0948876988,Khach Hang 398,1986-02-13,Nam,Dong Nai,886
KH0399,0889398788,Khach Hang 399,1975-08-07,Nu,Dong Nai,3246
KH0400,0978889224,Khach Hang 400,1993-11-23,Nam,Ho Chi Minh,408
KH0401,0820221194,Khach Hang 401,1996-03-08,Nu,Da Nang,2484
KH0402,0860922027,Khach Hang 402,1997-07-04,Nam,Dong Nai,3059
KH0403,0384849964,Khach Hang 403,1975-06-24,Nu,Ho Chi Minh,2939
KH0404,0834544920,Khach Hang 404,1990-11-15,Nam,Can Tho,4878
KH0405,0870600010,Khach Hang 405,2002-11-27,Nu,Ho Chi Minh,4667
KH0406,0793491514,Khach Hang 406,1978-04-11,Nam,Khanh Hoa,3358
KH0407,0894371544,Khach Hang 407,1991-09-17,Nu,Binh Duong,657
KH0408,0398886400,Khach Hang 408,1971-08-15,Nam,Can Tho,3643
KH0409,0978960068,Khach Hang 409,1981-08-25,Nu,Binh Duong,2212
KH0410,0957429530,Khach Hang 410,1989-10-15,Nam,Binh Duong,4416
KH0411,0968987628,Khach Hang 411,2005-11-22,Nu,Hai Phong,4732
KH0412,0727497583,Khach Hang 412,1996-04-10,Nam,Khanh Hoa,888
KH0413,0865871269,Khach Hang 413,1986-07-23,Nu,Khanh Hoa,3359
KH0414,0937618738,Khach Hang 414,1982-05-24,Nam,Ho Chi Minh,4039
KH0415,0821721593,Khach Hang 415,1985-06-30,Nu,Binh Duong,673
KH0416,0397808762,Khach Hang 416,1995-06-07,Nam,Can Tho,4545
KH0417,0756755483,Khach Hang 417,1971-11-12,Nu,Can Tho,4735
KH0418,0794770968,Khach Hang 418,1976-10-05,Nam,Can Tho,4180
KH0419,0836730391,Khach Hang 419,2005-04-22,Nu,Ha Noi,3335
KH0420,0949251812,Khach Hang 420,1973-01-31,Nam,Ha Noi,1462
KH0421,0888534008,Khach Hang 421,1993-02-18,Nu,Binh Duong,3675
KH0422,0869519207,Khach Hang 422,1978-10-02,Nam,Can Tho,3861
KH0423,0786273549,Khach Hang 423,1978-04-01,Nu,Ha Noi,2016
KH0424,0777429101,Khach Hang 424,1992-11-25,Nam,Khanh Hoa,1700
KH0425,0897798826,Khach Hang 425,1999-12-13,Nu,Can Tho,4132
KH0426,0754137358,Khach Hang 426,1986-04-20,Nam,Binh Duong,4376
KH0427,0945375570,Khach Hang 427,1985-08-13,Nu,Can Tho,3591
KH0428,0893423438,Khach Hang 428,1973-03-19,Nam,Can Tho,3280
KH0429,0719028624,Khach Hang 429,1971-12-22,Nu,Ha Noi,1227
KH0430,0938604509,Khach Hang 430,1983-07-20,Nam,Dong Nai,654
KH0431,0832447489,Khach Hang 431,2004-05-16,Nu,Dong Nai,1328
KH0432,0783045833,Khach Hang 432,1991-08-31,Nam,Ha Noi,4025
KH0433,0811072869,Khach Hang 433,2004-12-01,Nu,Ho Chi Minh,2226
KH0434,0880640996,Khach Hang 434,1980-04-30,Nam,Ha Noi,871
KH0435,0839474847,Khach Hang 435,1978-11-04,Nu,Ha Noi,3240
KH0436,0358905751,Khach Hang 436,1985-08-20,Nam,Binh Duong,2844
KH0437,0970114980,Khach Hang 437,1983-04-29,Nu,Khanh Hoa,4411
KH0438,0817029602,Khach Hang 438,2000-02-26,Nam,Dong Nai,4530
KH0439,0922612125,Khach Hang 439,1980-09-23,Nu,Khanh Hoa,2746
KH0440,0793976619,Khach Hang 440,1981-04-23,Nam,Hai Phong,1860
KH0441,0759518403,Khach Hang 441,1989-04-27,Nu,Khanh Hoa,3657
KH0442,0977564590,Khach Hang 442,1996-03-28,Nam,Ho Chi Minh,4596
KH0443,0341988654,Khach Hang 443,1986-07-25,Nu,Binh Duong,2775
KH0444,0973854499,Khach Hang 444,2001-07-30,Nam,Khanh Hoa,1956
KH0445,0348124501,Khach Hang 445,1996-07-23,Nu,Hai Phong,4419
KH0446,0792517806,Khach Hang 446,2004-12-13,Nam,Ho Chi Minh,61
KH0447,0914845675,Khach Hang 447,1972-12-11,Nu,Binh Duong,1469
KH0448,0984674185,Khach Hang 448,2000-05-01,Nam,Binh Duong,1991
KH0449,0886385382,Khach Hang 449,1994-02-05,Nu,Dong Nai,2826
KH0450,0762161447,Khach Hang 450,1989-08-08,Nam,Hai Phong,4639
KH0451,0898070749,Khach Hang 451,2006-10-16,Nu,Khanh Hoa,2380
KH0452,0773705796,Khach Hang 452,1988-03-04,Nam,Khanh Hoa,583
KH0453,0968416810,Khach Hang 453,1988-08-08,Nu,Da Nang,4246
KH0454,0713904756,Khach Hang 454,1993-06-20,Nam,Can Tho,3438
KH0455,0724743740,Khach Hang 455,2002-10-12,Nu,Binh Duong,2647
KH0456,0872732679,Khach Hang 456,1983-01-20,Nam,Hai Phong,1147
KH0457,0981072515,Khach Hang 457,1972-06-07,Nu,Can Tho,1783
KH0458,0386448334,Khach Hang 458,2000-04-09,Nam,Hai Phong,590
KH0459,0368375924,Khach Hang 459,1991-11-18,Nu,Ho Chi Minh,2549
KH0460,0384756823,Khach Hang 460,1994-01-24,Nam,Can Tho,4595
KH0461,0715898560,Khach Hang 461,1970-03-04,Nu,Can Tho,4550
KH0462,0343076614,Khach Hang 462,1974-05-28,Nam,Ho Chi Minh,2611
KH0463,0345857256,Khach Hang 463,1985-12-25,Nu,Da Nang,1778
KH0464,0730298014,Khach Hang 464,1997-02-19,Nam,Khanh Hoa,2167
KH0465,0716734009,Khach Hang 465,1975-06-25,Nu,Dong Nai,2446
KH0466,0335719610,Khach Hang 466,1976-11-12,Nam,Can Tho,4393
KH0467,0347514645,Khach Hang 467,1997-06-30,Nu,Ho Chi Minh,1246
KH0468,0973081139,Khach Hang 468,1998-12-03,Nam,Da Nang,1770
KH0469,0978131587,Khach Hang 469,2003-05-25,Nu,Dong Nai,1998
KH0470,0946161148,Khach Hang 470,1981-10-07,Nam,Ha Noi,3437
KH0471,0869359227,Khach Hang 471,1984-04-23,Nu,Ha Noi,1594
KH0472,0773780303,Khach Hang 472,1976-02-21,Nam,Da Nang,1376
KH0473,0868642217,Khach Hang 473,2002-10-26,Nu,Hai Phong,4062
KH0474,0365668700,Khach Hang 474,1999-12-25,Nam,Ho Chi Minh,3111
KH0475,0393405317,Khach Hang 475,1993-02-20,Nu,Can Tho,942
KH0476,0751794703,Khach Hang 476,1990-06-23,Nam,Can Tho,2430
KH0477,0376627667,Khach Hang 477,1984-01-30,Nu,Ho Chi Minh,4708
KH0478,0368414624,Khach Hang 478,2005-07-25,Nam,Da Nang,2359
KH0479,0385286572,Khach Hang 479,1990-03-15,Nu,Hai Phong,2711
KH0480,0848395368,Khach Hang 480,1978-11-05,Nam,Can Tho,4674
KH0481,0979458424,Khach Hang 481,1980-11-21,Nu,Can Tho,3999
KH0482,0755321656,Khach Hang 482,1971-01-01,Nam,Ha Noi,2099
KH0483,0723559575,Khach Hang 483,2001-09-19,Nu,Da Nang,2918
KH0484,0996420636,Khach Hang 484,1989-11-27,Nam,Binh Duong,636
KH0485,0883725436,Khach Hang 485,1974-06-10,Nu,Ho Chi Minh,2928
KH0486,0321109633,Khach Hang 486,2003-12-04,Nam,Da Nang,3409
KH0487,0791452381,Khach Hang 487,1974-10-15,Nu,Ho Chi Minh,1251
KH0488,0395405867,Khach Hang 488,1993-10-23,Nam,Khanh Hoa,4931
KH0489,0775581166,Khach Hang 489,1993-07-10,Nu,Ha Noi,25
KH0490,0714499325,Khach Hang 490,1999-03-18,Nam,Dong Nai,1799
KH0491,0367657929,Khach Hang 491,2000-07-24,Nu,Dong Nai,4803
KH0492,0328393402,Khach Hang 492,2003-03-24,Nam,Ha Noi,4728
KH0493,0744144628,Khach Hang 493,1975-07-31,Nu,Ha Noi,1926
KH0494,0959629346,Khach Hang 494,2003-11-13,Nam,Ha Noi,2300
KH0495,0720250909,Khach Hang 495,1973-12-06,Nu,Ho Chi Minh,2334
KH0496,0716991447,Khach Hang 496,1988-02-17,Nam,Hai Phong,3517
KH0497,0898836842,Khach Hang 497,1973-06-05,Nu,Hai Phong,3997
KH0498,0967588945,Khach Hang 498,1992-05-22,Nam,Khanh Hoa,4384
KH0499,0945901081,Khach Hang 499,1987-01-10,Nu,Khanh Hoa,2374
KH0500,0365688072,Khach Hang 500,1974-12-04,Nam,Ha Noi,1634
KH0501,0865850351,Khach Hang 501,1997-09-05,Nu,Ha Noi,1730
KH0502,0936927523,Khach Hang 502,1993-06-11,Nam,Dong Nai,4157
KH0503,0834703061,Khach Hang 503,1990-01-05,Nu,Hai Phong,3828
KH0504,0815732920,Khach Hang 504,1983-04-30,Nam,Can Tho,1612
KH0505,0788955996,Khach Hang 505,1977-04-24,Nu,Ho Chi Minh,3888
KH0506,0764281171,Khach Hang 506,2001-07-09,Nam,Hai Phong,1234
KH0507,0764661412,Khach Hang 507,1983-03-16,Nu,Khanh Hoa,1199
KH0508,0763287621,Khach Hang 508,1981-04-05,Nam,Ha Noi,430
KH0509,0855866862,Khach Hang 509,1976-01-30,Nu,Da Nang,4603
KH0510,0754735773,Khach Hang 510,1970-06-05,Nam,Ha Noi,715
KH0511,0869773272,Khach Hang 511,1998-06-01,Nu,Hai Phong,3780
KH0512,0913988292,Khach Hang 512,2002-08-25,Nam,Khanh Hoa,266
KH0513,0398072380,Khach Hang 513,1971-05-09,Nu,Khanh Hoa,296
KH0514,0943199594,Khach Hang 514,1995-02-13,Nam,Khanh Hoa,3640
KH0515,0765688787,Khach Hang 515,1996-02-28,Nu,Ho Chi Minh,1004
KH0516,0343246830,Khach Hang 516,2001-01-04,Nam,Ha Noi,2542
KH0517,0947697968,Khach Hang 517,1973-10-08,Nu,Hai Phong,3010
KH0518,0940001576,Khach Hang 518,2006-07-17,Nam,Binh Duong,4045
KH0519,0348088725,Khach Hang 519,1972-09-07,Nu,Da Nang,2463
KH0520,0368944649,Khach Hang 520,1986-08-02,Nam,Ho Chi Minh,3541
KH0521,0994894857,Khach Hang 521,1976-05-20,Nu,Khanh Hoa,3399
KH0522,0353812283,Khach Hang 522,1985-09-21,Nam,Khanh Hoa,4744
KH0523,0391204498,Khach Hang 523,1975-02-12,Nu,Dong Nai,2870
KH0524,0819769762,Khach Hang 524,1984-10-20,Nam,Can Tho,3599
KH0525,0859545342,Khach Hang 525,1973-11-27,Nu,Ho Chi Minh,1218
KH0526,0728038916,Khach Hang 526,1984-07-30,Nam,Hai Phong,3378
KH0527,0831371384,Khach Hang 527,1983-06-01,Nu,Ha Noi,3382
KH0528,0754458213,Khach Hang 528,1989-04-19,Nam,Da Nang,4915
KH0529,0912308913,Khach Hang 529,1991-11-24,Nu,Can Tho,3816
KH0530,0390627269,Khach Hang 530,2003-01-24,Nam,Khanh Hoa,701
KH0531,0920370897,Khach Hang 531,1995-02-10,Nu,Da Nang,3516
KH0532,0887237740,Khach Hang 532,1987-09-12,Nam,Binh Duong,2767
KH0533,0891493740,Khach Hang 533,2005-12-09,Nu,Da Nang,4929
KH0534,0362794853,Khach Hang 534,1973-03-13,Nam,Da Nang,502
KH0535,0722094888,Khach Hang 535,1983-04-26,Nu,Khanh Hoa,3836
KH0536,0813097853,Khach Hang 536,1977-03-29,Nam,Khanh Hoa,1346
KH0537,0769612741,Khach Hang 537,1988-02-19,Nu,Dong Nai,2276
KH0538,0981463164,Khach Hang 538,1981-06-11,Nam,Ho Chi Minh,4480
KH0539,0384132923,Khach Hang 539,1974-03-17,Nu,Da Nang,1169
KH0540,0716991457,Khach Hang 540,2000-07-31,Nam,Dong Nai,1828
KH0541,0988965172,Khach Hang 541,1986-02-17,Nu,Da Nang,2453
KH0542,0820939406,Khach Hang 542,1984-12-12,Nam,Ha Noi,3974
KH0543,0889843384,Khach Hang 543,1970-07-03,Nu,Ho Chi Minh,437
KH0544,0847234243,Khach Hang 544,2003-01-24,Nam,Ho Chi Minh,4944
KH0545,0364233792,Khach Hang 545,1995-10-08,Nu,Ho Chi Minh,4711
KH0546,0997400214,Khach Hang 546,1996-09-11,Nam,Dong Nai,248
KH0547,0310831767,Khach Hang 547,1987-03-19,Nu,Hai Phong,1718
KH0548,0730643577,Khach Hang 548,1995-11-18,Nam,Da Nang,2276
KH0549,0319778773,Khach Hang 549,1987-08-03,Nu,Khanh Hoa,3365
KH0550,0350670803,Khach Hang 550,1995-08-21,Nam,Can Tho,1705
KH0551,0827155589,Khach Hang 551,2003-09-20,Nu,Can Tho,2428
KH0552,0989454151,Khach Hang 552,2000-04-07,Nam,Dong Nai,379
KH0553,0325864558,Khach Hang 553,1977-12-28,Nu,Hai Phong,1457
KH0554,0319654819,Khach Hang 554,1984-08-03,Nam,Ho Chi Minh,2333
KH0555,0992864093,Khach Hang 555,1987-01-07,Nu,Binh Duong,1673
KH0556,0348112918,Khach Hang 556,1987-03-07,Nam,Binh Duong,2890
KH0557,0322363512,Khach Hang 557,1983-11-17,Nu,Ha Noi,3915
KH0558,0897243840,Khach Hang 558,1979-12-26,Nam,Ha Noi,1178
KH0559,0940290973,Khach Hang 559,1996-10-10,Nu,Dong Nai,1356
KH0560,0786010981,Khach Hang 560,1970-12-28,Nam,Khanh Hoa,1326
KH0561,0943072557,Khach Hang 561,1985-06-14,Nu,Khanh Hoa,4984
KH0562,0771928534,Khach Hang 562,2006-01-23,Nam,Hai Phong,353
KH0563,0746993572,Khach Hang 563,1981-07-01,Nu,Da Nang,1329
KH0564,0358933662,Khach Hang 564,1977-05-01,Nam,Can Tho,859
KH0565,0856347910,Khach Hang 565,1970-03-30,Nu,Dong Nai,3316
KH0566,0733804943,Khach Hang 566,1986-03-07,Nam,Hai Phong,987
KH0567,0961062605,Khach Hang 567,1984-04-27,Nu,Can Tho,4546
KH0568,0334843478,Khach Hang 568,2005-02-24,Nam,Da Nang,909
KH0569,0976082700,Khach Hang 569,1981-11-24,Nu,Ha Noi,4782
KH0570,0891688171,Khach Hang 570,1978-03-23,Nam,Ha Noi,79
KH0571,0832312094,Khach Hang 571,1984-04-23,Nu,Dong Nai,2914
KH0572,0832159438,Khach Hang 572,1975-05-08,Nam,Binh Duong,1228
KH0573,0744909990,Khach Hang 573,1974-12-23,Nu,Da Nang,171
KH0574,0822036830,Khach Hang 574,1977-09-25,Nam,Binh Duong,121
KH0575,0310026786,Khach Hang 575,1984-11-06,Nu,Da Nang,1115
KH0576,0824752703,Khach Hang 576,2003-03-06,Nam,Khanh Hoa,4525
KH0577,0954590900,Khach Hang 577,1993-12-19,Nu,Ha Noi,2636
KH0578,0932449073,Khach Hang 578,1975-05-10,Nam,Hai Phong,341
KH0579,0937169336,Khach Hang 579,1971-10-26,Nu,Da Nang,3979
KH0580,0791522604,Khach Hang 580,1970-11-16,Nam,Da Nang,1188
KH0581,0918263964,Khach Hang 581,1994-12-13,Nu,Ha Noi,865
KH0582,0784962398,Khach Hang 582,1975-09-18,Nam,Hai Phong,2594
KH0583,0375764109,Khach Hang 583,1990-06-20,Nu,Khanh Hoa,1813
KH0584,0393165416,Khach Hang 584,1991-07-01,Nam,Da Nang,442
KH0585,0886269858,Khach Hang 585,1970-01-31,Nu,Da Nang,524
KH0586,0771191227,Khach Hang 586,1995-04-07,Nam,Da Nang,2174
KH0587,0977404682,Khach Hang 587,1978-02-15,Nu,Khanh Hoa,691
KH0588,0711673314,Khach Hang 588,1971-09-22,Nam,Ha Noi,2607
KH0589,0952415442,Khach Hang 589,1981-07-06,Nu,Da Nang,661
KH0590,0916747641,Khach Hang 590,1979-07-03,Nam,Can Tho,530
KH0591,0888034308,Khach Hang 591,2001-06-12,Nu,Ho Chi Minh,4073
KH0592,0858151516,Khach Hang 592,1990-05-28,Nam,Da Nang,1421
KH0593,0990610396,Khach Hang 593,1975-09-10,Nu,Da Nang,1150
KH0594,0724650737,Khach Hang 594,1977-06-24,Nam,Dong Nai,3141
KH0595,0758103049,Khach Hang 595,1996-07-25,Nu,Khanh Hoa,3625
KH0596,0373588343,Khach Hang 596,1979-01-03,Nam,Can Tho,2628
KH0597,0984513617,Khach Hang 597,1983-02-06,Nu,Da Nang,1232
KH0598,0935097051,Khach Hang 598,1998-09-28,Nam,Ha Noi,1927
KH0599,0354179993,Khach Hang 599,1973-08-05,Nu,Ha Noi,3990
KH0600,0838075823,Khach Hang 600,2005-12-05,Nam,Ho Chi Minh,3313
KH0601,0367773884,Khach Hang 601,1989-10-06,Nu,Binh Duong,1459
KH0602,0930234744,Khach Hang 602,1988-11-30,Nam,Binh Duong,1578
KH0603,0968489680,Khach Hang 603,1984-01-19,Nu,Ha Noi,2951
KH0604,0825069868,Khach Hang 604,1981-04-11,Nam,Dong Nai,2168
KH0605,0920106915,Khach Hang 605,1980-05-07,Nu,Ho Chi Minh,1475
KH0606,0747836516,Khach Hang 606,1986-06-15,Nam,Da Nang,2144
KH0607,0987688837,Khach Hang 607,2005-11-18,Nu,Hai Phong,1112
KH0608,0884152134,Khach Hang 608,1973-03-30,Nam,Dong Nai,847
KH0609,0868967767,Khach Hang 609,1978-02-09,Nu,Ho Chi Minh,310
KH0610,0849175085,Khach Hang 610,1993-02-05,Nam,Hai Phong,1501
KH0611,0750367404,Khach Hang 611,1989-09-13,Nu,Khanh Hoa,3165
KH0612,0321050674,Khach Hang 612,2004-04-20,Nam,Da Nang,3059
KH0613,0751968889,Khach Hang 613,1972-04-16,Nu,Binh Duong,2644
KH0614,0724755898,Khach Hang 614,2003-07-12,Nam,Da Nang,3629
KH0615,0788162465,Khach Hang 615,1974-05-26,Nu,Dong Nai,459
KH0616,0779754751,Khach Hang 616,2003-11-26,Nam,Hai Phong,2877
KH0617,0361273046,Khach Hang 617,1984-09-13,Nu,Ha Noi,1690
KH0618,0349963845,Khach Hang 618,1990-01-05,Nam,Hai Phong,1775
KH0619,0319436919,Khach Hang 619,1988-10-28,Nu,Ho Chi Minh,2515
KH0620,0938271441,Khach Hang 620,1988-06-06,Nam,Ho Chi Minh,3862
KH0621,0794167536,Khach Hang 621,1978-12-27,Nu,Hai Phong,3741
KH0622,0974985478,Khach Hang 622,1981-04-29,Nam,Binh Duong,783
KH0623,0986107725,Khach Hang 623,1976-03-10,Nu,Ho Chi Minh,1305
KH0624,0336834817,Khach Hang 624,1998-04-13,Nam,Dong Nai,1149
KH0625,0926149666,Khach Hang 625,1980-03-11,Nu,Ha Noi,2272
KH0626,0748128657,Khach Hang 626,1977-11-27,Nam,Dong Nai,4819
KH0627,0731841721,Khach Hang 627,2004-01-28,Nu,Binh Duong,740
KH0628,0782819635,Khach Hang 628,2000-02-14,Nam,Dong Nai,3080
KH0629,0958230913,Khach Hang 629,1991-01-13,Nu,Hai Phong,3349
KH0630,0918434788,Khach Hang 630,1981-12-06,Nam,Ho Chi Minh,3980
KH0631,0818922508,Khach Hang 631,1977-10-06,Nu,Ho Chi Minh,3917
KH0632,0848919396,Khach Hang 632,1987-07-09,Nam,Dong Nai,505
KH0633,0939071420,Khach Hang 633,1985-09-18,Nu,Dong Nai,161
KH0634,0317645147,Khach Hang 634,1978-03-30,Nam,Hai Phong,3197
KH0635,0830098234,Khach Hang 635,1993-02-22,Nu,Dong Nai,976
KH0636,0324086869,Khach Hang 636,1977-06-04,Nam,Dong Nai,30
KH0637,0999390527,Khach Hang 637,1980-07-11,Nu,Binh Duong,2175
KH0638,0916017016,Khach Hang 638,1990-02-24,Nam,Ha Noi,1143
KH0639,0962119133,Khach Hang 639,1976-05-24,Nu,Hai Phong,2042
KH0640,0729728255,Khach Hang 640,1994-12-14,Nam,Ho Chi Minh,3257
KH0641,0842158631,Khach Hang 641,1978-02-02,Nu,Dong Nai,3197
KH0642,0741234381,Khach Hang 642,2006-03-26,Nam,Khanh Hoa,35
KH0643,0813084088,Khach Hang 643,1995-05-27,Nu,Can Tho,813
KH0644,0858909760,Khach Hang 644,2005-05-15,Nam,Ha Noi,720
KH0645,0945437136,Khach Hang 645,1996-03-21,Nu,Hai Phong,4753
KH0646,0843048691,Khach Hang 646,2003-05-28,Nam,Da Nang,1207
KH0647,0981409313,Khach Hang 647,1994-10-10,Nu,Khanh Hoa,3160
KH0648,0955826825,Khach Hang 648,1993-03-20,Nam,Can Tho,2419
KH0649,0866872559,Khach Hang 649,1993-05-16,Nu,Hai Phong,325
KH0650,0897518154,Khach Hang 650,2005-02-13,Nam,Khanh Hoa,243
KH0651,0936763657,Khach Hang 651,2001-09-06,Nu,Da Nang,3762
KH0652,0773586964,Khach Hang 652,1995-02-22,Nam,Dong Nai,3135
KH0653,0874227014,Khach Hang 653,1973-09-10,Nu,Ha Noi,3398
KH0654,0924331375,Khach Hang 654,1992-02-22,Nam,Ho Chi Minh,314
KH0655,0982103263,Khach Hang 655,1970-12-24,Nu,Ha Noi,757
KH0656,0770461579,Khach Hang 656,1977-05-05,Nam,Ha Noi,714
KH0657,0956385479,Khach Hang 657,1979-02-11,Nu,Dong Nai,2591
KH0658,0913967514,Khach Hang 658,2000-12-21,Nam,Dong Nai,3084
KH0659,0872154467,Khach Hang 659,1992-04-29,Nu,Dong Nai,814
KH0660,0954648012,Khach Hang 660,2001-03-01,Nam,Da Nang,1821
KH0661,0851268642,Khach Hang 661,1974-02-05,Nu,Ha Noi,2315
KH0662,0365684922,Khach Hang 662,2004-02-03,Nam,Ha Noi,3857
KH0663,0353636471,Khach Hang 663,1999-05-25,Nu,Da Nang,2117
KH0664,0964187197,Khach Hang 664,1987-12-29,Nam,Khanh Hoa,4480
KH0665,0955887569,Khach Hang 665,1983-12-29,Nu,Khanh Hoa,2141
KH0666,0765944745,Khach Hang 666,1996-01-03,Nam,Ho Chi Minh,2932
KH0667,0770517202,Khach Hang 667,1994-09-03,Nu,Binh Duong,1117
KH0668,0980699251,Khach Hang 668,1983-01-12,Nam,Ho Chi Minh,1088
KH0669,0919922348,Khach Hang 669,1981-08-07,Nu,Binh Duong,2178
KH0670,0394375614,Khach Hang 670,1999-03-07,Nam,Ho Chi Minh,361
KH0671,0724858585,Khach Hang 671,1977-09-14,Nu,Dong Nai,3235
KH0672,0956569602,Khach Hang 672,1973-08-31,Nam,Ho Chi Minh,4234
KH0673,0763556500,Khach Hang 673,1998-09-02,Nu,Can Tho,3153
KH0674,0987096565,Khach Hang 674,1989-03-23,Nam,Can Tho,3974
KH0675,0899098046,Khach Hang 675,1981-10-11,Nu,Da Nang,2875
KH0676,0824387622,Khach Hang 676,2004-07-10,Nam,Khanh Hoa,310
KH0677,0756328395,Khach Hang 677,1974-10-09,Nu,Hai Phong,1940
KH0678,0988209490,Khach Hang 678,1973-10-22,Nam,Ho Chi Minh,4181
KH0679,0835569773,Khach Hang 679,2001-04-01,Nu,Binh Duong,2563
KH0680,0862068743,Khach Hang 680,1998-10-21,Nam,Ha Noi,1332
KH0681,0320472356,Khach Hang 681,1977-03-18,Nu,Da Nang,2263
KH0682,0889040881,Khach Hang 682,1975-04-08,Nam,Ha Noi,928
KH0683,0985647712,Khach Hang 683,1992-02-16,Nu,Dong Nai,4705
KH0684,0388358328,Khach Hang 684,1984-10-25,Nam,Binh Duong,3833
KH0685,0951494283,Khach Hang 685,2002-02-19,Nu,Da Nang,728
KH0686,0398116734,Khach Hang 686,1976-04-26,Nam,Binh Duong,1152
KH0687,0840538513,Khach Hang 687,1998-10-04,Nu,Binh Duong,3121
KH0688,0828303086,Khach Hang 688,1991-12-18,Nam,Can Tho,1914
KH0689,0755145044,Khach Hang 689,1978-09-09,Nu,Ha Noi,2174
KH0690,0981330930,Khach Hang 690,1975-05-29,Nam,Hai Phong,1687
KH0691,0373909276,Khach Hang 691,1971-04-21,Nu,Binh Duong,930
KH0692,0823008739,Khach Hang 692,1990-02-28,Nam,Dong Nai,482
