MANV,MACH,HOTEN,GIOITINH,NGAYSINH,CHUCVU,LUONG,NGAYVAOLAM
NV0833,CH3,Đỗ Thanh An,Nu,1992-08-25,Nhan vien,9175019,2021-11-20
NV0836,CH3,Đặng Gia Bình,Nam,1994-02-21,Nhan vien,7901494,2017-11-11
NV0839,CH3,Bùi Thị Bình,Nu,1990-05-11,Nhan vien,8623771,2022-11-27
NV0842,CH3,Đỗ Gia Quang,Nam,1994-08-19,Nhan vien,8655689,2019-04-12
NV0845,CH3,Hoàng Minh Bình,Nu,1998-11-12,Ke toan,17172635,2023-04-02
NV0848,CH3,Nguyễn Minh Tuấn,Nam,1986-07-18,Nhan vien,8990306,2019-09-11
NV0851,CH3,Võ Thị Hương,Nu,2002-01-08,Nhan vien,8335811,2022-05-18
NV0854,CH3,Đặng Văn Trang,Nam,1998-02-15,Nhan vien,9697926,2022-10-29
NV0857,CH3,Phạm Minh Cường,Nu,1989-09-21,Nhan vien,7271044,2020-01-08
NV0860,CH3,Nguyễn Minh Tuấn,Nam,2000-05-02,Quan ly,23941621,2021-02-08
NV0863,CH3,Đặng Thị Quang,Nu,1989-11-02,Nhan vien,8400660,2015-11-29
NV0866,CH3,Đặng Thị Long,Nam,1988-01-01,Nhan vien,7496413,2022-12-17
NV0869,CH3,Bùi Ngọc Tài,Nu,2003-01-01,Nhan vien,8537650,2022-06-17
NV0872,CH3,Trần Thanh Hương,Nam,2002-12-01,Nhan vien,7523360,2023-10-04
NV0875,CH3,Đỗ Thanh Minh,Nu,2000-12-04,Ke toan,13386632,2021-08-03
NV0878,CH3,Hoàng Thị Long,Nam,1996-05-04,Nhan vien,7935863,2015-12-18
NV0881,CH3,Đặng Gia Quang,Nu,1991-05-06,Nhan vien,7454491,2023-02-26
NV0884,CH3,Huỳnh Thị Hùng,Nam,1989-06-23,Nhan vien,9190928,2021-08-29
NV0887,CH3,Bùi Văn Cường,Nu,2000-08-11,Nhan vien,7164687,2022-01-11
NV0890,CH3,Trần Ngọc Hùng,Nam,1989-01-30,Quan ly,16797283,2020-07-03
NV0893,CH3,Đặng Văn An,Nu,2001-12-11,Nhan vien,7083546,2017-10-25
NV0896,CH3,Bùi Minh An,Nam,1992-08-28,Nhan vien,7720678,2020-04-12
NV0899,CH3,Bùi Thị Minh,Nu,2000-05-05,Nhan vien,9347060,2017-09-17
NV0902,CH3,Trần Minh Tuấn,Nam,2002-08-17,Nhan vien,9951864,2018-01-16
NV0905,CH3,Nguyễn Văn Tuấn,Nu,1996-09-18,Ke toan,14570418,2022-08-03
NV0908,CH3,Lê Văn Hương,Nam,1989-09-22,Nhan vien,9973111,2018-12-14
NV0911,CH3,Bùi Văn Minh,Nu,1986-05-17,Nhan vien,7871480,2022-10-29
NV0914,CH3,Hoàng Gia Bình,Nam,1986-07-20,Nhan vien,9358485,2017-12-23
NV0917,CH3,Võ Văn Phúc,Nu,1998-05-17,Nhan vien,7788500,2023-01-01
NV0920,CH3,Bùi Minh Tuấn,Nam,2001-02-05,Quan ly,23249907,2017-11-23
NV0923,CH3,Nguyễn Văn Trang,Nu,1985-03-28,Nhan vien,7029105,2015-07-29
NV0926,CH3,Huỳnh Văn Nam,Nam,1998-10-20,Nhan vien,8716682,2020-02-03
NV0929,CH3,Võ Thị Tuấn,Nu,1999-02-22,Nhan vien,9766572,2021-05-24
NV0932,CH3,Trần Minh Hùng,Nam,1995-07-31,Nhan vien,9130087,2018-10-22
NV0935,CH3,Trần Văn An,Nu,2002-11-29,Ke toan,18643699,2020-09-19
NV0938,CH3,Trần Thị Trang,Nam,1986-03-07,Nhan vien,8534515,2022-11-28
NV0941,CH3,Huỳnh Gia Cường,Nu,1997-07-06,Nhan vien,7601417,2021-11-24
NV0944,CH3,Võ Hoàng Cường,Nam,2002-03-23,Nhan vien,8823655,2022-12-03
NV0947,CH3,Hoàng Minh Nam,Nu,2001-08-22,Nhan vien,8427699,2022-11-08
NV0950,CH3,Võ Minh Hương,Nam,1991-12-14,Quan ly,15394041,2021-11-04
NV0953,CH3,Đỗ Gia Long,Nu,1994-11-13,Nhan vien,7897590,2023-01-13
NV0956,CH3,Huỳnh Thanh Tuấn,Nam,2002-06-07,Nhan vien,9637081,2016-05-23
NV0959,CH3,Hoàng Minh Long,Nu,2002-07-29,Nhan vien,8747805,2018-08-08
NV0962,CH3,Đặng Gia Minh,Nam,1996-10-04,Nhan vien,9479423,2015-03-07
NV0965,CH3,Đỗ Thị Khánh,Nu,1996-09-27,Ke toan,18753077,2019-03-09
NV0968,CH3,Trần Thanh Trang,Nam,1999-01-14,Nhan vien,7478620,2018-08-19
NV0971,CH3,Võ Thanh Tuấn,Nu,2001-03-12,Nhan vien,8078466,2016-12-13
NV0974,CH3,Bùi Văn Tài,Nam,2001-10-08,Nhan vien,7951996,2021-12-15
NV0977,CH3,Huỳnh Thị Bình,Nu,1990-01-31,Nhan vien,7846202,2017-04-28
NV0980,CH3,Trần Văn Dũng,Nam,1988-12-26,Quan ly,23612474,2018-07-02
NV0983,CH3,Đặng Thanh Hùng,Nu,2001-10-16,Nhan vien,7116883,2019-03-02
NV0986,CH3,Trần Văn Hùng,Nam,2002-07-05,Nhan vien,9088471,2019-10-25
NV0989,CH3,Bùi Hoàng Tài,Nu,1989-02-12,Nhan vien,9554912,2018-12-16
NV0992,CH3,Hoàng Văn Dũng,Nam,2000-03-24,Nhan vien,9548312,2022-08-04
NV0995,CH3,Phạm Gia Khánh,Nu,1994-06-29,Ke toan,13557344,2021-11-17
NV0998,CH3,Phạm Thanh Tuấn,Nam,1994-02-28,Nhan vien,9955931,2021-10-20
